Ph,Turbidity,Temperature,Conductivity,Label,Hardness,Turbidity_Conductivity_Ratio
7.01,706.1010307,20.52963185,342.5439173,1,2401.232860273,2.0613445314271828
7.25,721.2323541,25.35591511,325.1207897,1,2357.125725325,2.218352000084355
6.88,596.1786402,29.599519,365.2387515,1,2512.84261032,1.6322984287717346
7.89,674.1219891,11.83867468,259.5243324,1,2047.6469826359998,2.5975290365490213
8.21,505.2667347,14.16787674,298.1849468,1,2448.098413228,1.6944743191174398
6.89,575.4442108,16.06087095,320.0415956,1,2205.086593684,1.7980294396457508
8.19,793.9451758,27.76088957,297.3391856,1,2435.207930064,2.670166645536141
7.26,688.3420687,11.428454,281.4113903,1,2043.0466935779998,2.4460348529822817
7.19,776.1922581,16.15677657,251.8955621,1,1811.1290914990002,3.0814050538606135
8.13,715.6504771,28.72390725,379.6744414,1,3086.7532085820003,1.8849055903292626
8.09,553.8000533,15.32301432,280.4371812,1,2268.7367959079997,1.9747739972648104
6.76,448.2109992,18.87482059,263.7330149,1,1782.8351807239999,1.69948764044558
8.35,440.3277036,16.03073128,264.6140564,1,2209.52737094,1.664037464942471
6.87,754.9741807,18.05615743,324.6637635,1,2230.440055245,2.325403280492681
7.56,449.1177792,23.70382319,348.9916926,1,2638.3771960560002,1.2869010601772701
8.19,555.8465575,25.90854005,353.229637,1,2892.95072703,1.5736124585151952
8.45,677.2358315,18.05268093,342.2766666,1,2892.23783277,1.9786210910235622
7.36,762.7017371,11.61154548,348.0243996,1,2561.459581056,2.19151800269351
6.81,624.0017863,22.30285395,367.0219997,1,2499.419817957,1.7001754303830634
7.23,503.0328294,13.76452517,336.4035488,1,2432.197657824,1.4953255730933597
8.09,660.2133901,23.31867071,255.6681334,1,2068.3551992059997,2.5823061377269005
8.19,630.5880803,27.85248698,382.3078868,1,3131.1015928919996,1.6494247230371288
6.86,496.1273045,18.03511565,358.9071599,1,2462.103116914,1.3823276878573076
7.14,727.3132776,22.57420764,267.4550754,1,1909.6292383559999,2.719384840658739
7.39,454.869485,27.96182106,290.8780184,1,2149.5885559759995,1.5637808848604287
7.06,562.5435209,14.77143542,280.2647801,1,1978.669347506,2.0071859214678396
7.96,716.1709351,17.37600272,304.8146844,1,2426.3248878239997,2.3495289818786698
8.02,653.1954058,25.38768395,386.6017851,1,3100.5463165019996,1.6895819703239132
6.82,662.9052313,14.66307949,316.9002113,1,2161.2594410660004,2.091842187736654
8.06,514.3732146,14.1186246,362.9067899,1,2925.028726594,1.417370049046856
6.68,518.3563353,23.58461442,254.2599038,1,1698.4561573839999,2.0386869008954607
8.05,695.1944744,10.20871774,281.306095,1,2264.51406475,2.4713096756755304
7.41,400.7923561,20.26638968,354.9172755,1,2629.937011455,1.1292556991917966
8.47,465.2475339,27.67382894,330.7468063,1,2801.425449361,1.4066576760169913
7.4,669.8701242,17.41257582,304.9329683,1,2256.5039654200004,2.1967782884695053
7.17,545.9583202,11.29764014,281.2634174,1,2016.658702758,1.9410925361244653
8.2,591.9820753,13.67475408,317.6407563,1,2604.65420166,1.863684251969526
7.98,401.9811824,21.64736636,344.6795158,1,2750.542536084,1.166246219961761
8.05,535.8819409,15.5303965,254.9756269,1,2052.5537965450003,2.10169868946011
6.9,569.4560079,20.18163744,372.0514579,1,2567.1550595100002,1.5305839980152918
8.48,738.8419499,13.00455959,392.652304,1,3329.6915379200004,1.8816697173894592
8.5,434.7220669,15.15771915,371.6503816,1,3159.0282436,1.1697070376423906
8.06,457.2443792,12.19484575,367.8149013,1,2964.588104478,1.2431371800977113
8.37,422.999621,18.00465167,325.6076902,1,2725.3363669739997,1.2991082020826301
